评论内容,分词结果
回复 :不是啊导演只说了南河死了参宿是开放式结局,回复 : 不是 啊 导演 只 说 了 南河 死 了 参宿 是 开放式 结局
回复 :都死了你再去搜一下最后参宿去南河家乡那个画面是幻想,回复 : 都 死 了 你 再 去 搜 一下 最后 参宿 去 南河 家乡 那个 画面 是 幻想
回复 :双死的结局就是神作估计原来是明说了双死审不过改成开放了,回复 : 双死 的 结局 就是 神作 估计 原来 是 明说 了 双死 审 不过 改成 开放 了
回复 :我也觉得都死了挺好一下子这个结局就牛逼了,回复 : 我 也 觉得 都 死 了 挺 好 一下子 这个 结局 就 牛 逼 了
好的地方很多人都说了我想说说问题首先人物刻画上把握不好有点用力过猛男主的形象刻画过于浮夸有的人会说这是女主想像出来的是女主当时的心理映射但深海的问题在于这些人物最后给人的印象是闹和怪没有深度在电影院一刷的时候真给我叨叨烦了其次是设定上有模仿千与千寻之嫌,好 的 地方 很多 人 都 说 了 我 想 说 说 问题 首先 人物 刻画 上 把握 不好 有点 用力 过 猛男 主 的 形象 刻画 过于 浮夸 有 的 人会 说 这 是 女主 想像出来 的 是 女主 当时 的 心理 映射 但 深海 的 问题 在于 这些 人物 最后 给 人 的 印象 是 闹 和 怪 没有 深度 在 电影院 一刷 的 时候 真给 我 叨叨 烦 了 其次 是 设定 上 有 模仿 千与千寻 之 嫌
当初本来想去的可惜刚吃了唐狮少年的一大口奥利给,当初 本来 想 去 的 可惜 刚 吃 了 唐狮 少年 的 一大口 奥利 给
女主设计就对是故意的参汤里老鼠屎,女主 设计 就 对 是 故意 的 参汤里 老鼠屎
看到深海元旦有活动99元四件里有南河的玩偶挺想要的但是我买不够四件有想要拼单的吗活动截止元旦前,看到 深海 元旦 有 活动 99 元 四件 里 有 南河 的 玩偶 挺 想要 的 但是 我 买 不够 四件 有 想要 拼单 的 吗 活动 截止 元旦 前
哭着看完,哭 着 看 完
我看前一个小时一直都在想这么是俗套的剧情吗 台词还有点尬尬的 最后十几分钟一下就被情绪感染到 哭成狗,我 看前 一个 小时 一直 都 在 想 这么 是 俗套 的 剧情 吗 台词 还 有点 尬 尬 的 最后 十几分钟 一下 就 被 情绪 感染 到 哭成 狗
我觉得这部片子最迷人的角色是南河其实我个人觉得南河这么迷人的主要原因一个是他的人物塑造一个是他是这部影片小女孩的救赎,我 觉得 这部 片子 最 迷人 的 角色 是 南河 其实 我 个人 觉得 南河 这么 迷人 的 主要 原因 一个 是 他 的 人物 塑造 一个 是 他 是 这部 影片 小女孩 的 救赎
其实他到那个深海大酒店他前面那个门框上面写着您可来了和一见生财好像是白无常和黑无常吧,其实 他 到 那个 深海 大酒店 他 前面 那个 门框 上面 写 着 您 可来 了 和 一见 生财 好像 是 白无常 和 黑无常 吧
若真这么简单就好了,若真 这么 简单 就 好 了
老金跟花姐还有糖豆在梦里的形象都是真实的 父亲跟家人都是爱她的 只是抑郁症将自己封闭后让参宿只能看到被刺痛的点 其实都是爱她的,老金 跟 花姐 还有 糖豆 在 梦里 的 形象 都 是 真实 的 父亲 跟 家人 都 是 爱 她 的 只是 抑郁症 将 自己 封闭 后 让 参宿 只能 看到 被 刺痛 的 点 其实 都 是 爱 她 的
记忆最深的就是我看深海时哭了一个小时我也是有抑郁症不被理解不被善待,记忆 最深 的 就是 我 看 深海 时 哭 了 一个 小时 我 也 是 有 抑郁症 不 被 理解 不 被 善待
看完之后我一直都在想为什么女主这么多年的愁苦心结会这么快就能解开如果我的生活都能这么轻松的解开就好了,看 完 之后 我 一直 都 在 想 为什么 女主 这么 多年 的 愁苦 心结 会 这么 快 就 能 解开 如果 我 的 生活 都 能 这么 轻松 的 解开 就 好 了
没解开女主死了,没 解开 女主死 了
深海真的很好看三刷三哭引起共鸣,深海 真的 很 好看 三刷 三 哭 引起共鸣
大圣老子是齐天大圣 哪吒我命由我不由天 生锈我不怕你们 一次两次就可以了 三次四次不会尬吗,大圣 老子 是 齐天大圣 哪吒 我命 由 我 不由 天 生锈 我 不怕 你们 一次 两次 就 可以 了 三次 四次 不会 尬 吗
是谁过了快一年了还走不出来啊,是 谁 过 了 快 一年 了 还 走 不 出来 啊
一月份欠的币想起来来补了,一月份 欠 的 币 想 起来 来 补 了
没看前别人说好看不好看直到我看了真的很好看很后悔那次没去看,没看 前 别人 说 好看 不 好看 直到 我 看 了 真的 很 好看 很 后悔 那次 没去 看
这个做的根本不叫电影emm恶心投资方,这个 做 的 根本 不 叫 电影 emm 恶心 投资方
多少钱一条我也想赚钱,多少 钱 一条 我 也 想 赚钱
回复 :有其他意见自己另起一楼别当杠精,回复 : 有 其他 意见 自己 另起 一楼 别当 杠精
回复 :有其他意见自己另起一楼别当杠精都是冲浪的你别在这恶心我,回复 : 有 其他 意见 自己 另起 一楼 别当 杠精 都 是 冲浪 的 你 别 在 这 恶心 我
回复 :就是恶心投资方阿,回复 : 就是 恶心 投资方 阿
回复 :乐,回复 : 乐
回复 :跟风的猴子是这样的,回复 : 跟风 的 猴子 是 这样 的
我看到深海一半上厕所听隔壁在放保你平安偷偷摸过去看了深海好看是真好看但是 我强忍着 3d 看了好久就是因为剧情吸引我后来是在不行了就去上厕所了,我 看到 深海 一半 上 厕所 听 隔壁 在 放保 你 平安 偷偷 摸 过去 看 了 深海 好看 是 真 好看 但是 我 强忍 着 3d 看 了 好久 就是 因为 剧情 吸引 我 后来 是 在 不行 了 就 去 上 厕所 了
学动漫的回来考古这片子两极分化真的很严重我们班的同学我问过的对深海的评价都是一致好评不管是剧情还是制作上甚至专业课老师也给出了很高的评价,学 动漫 的 回来 考古 这 片子 两极分化 真的 很 严重 我们 班 的 同学 我 问过 的 对 深海 的 评价 都 是 一致 好评 不管 是 剧情 还是 制作 上 甚至 专业课 老师 也 给出 了 很 高 的 评价
我也纳闷身边看过的都是一致好评一看评论全是奇葩两句不离抑郁症但凡看过的很难忍住不骂两句,我 也 纳闷 身边 看过 的 都 是 一致 好评 一看 评论 全是 奇葩 两句 不 离 抑郁症 但凡 看过 的 很 难忍 住 不 骂 两句
回复 :点了我想起来那个国外两个手画画的女生还没画完就被评委淘汰结果最后的作品惊为天人在这种快节奏的时代下很少人愿意静下心慢下来去欣赏艺术很少人愿意给艺术一点时间,回复 : 点 了 我 想 起来 那个 国外 两个 手 画画 的 女生 还 没画 完 就 被 评委 淘汰 结果 最后 的 作品 惊为天人 在 这种 快节奏 的 时代 下 很少 人 愿意 静下心 慢下来 去 欣赏 艺术 很少 人 愿意 给 艺术 一点 时间
这部动画电影给我的感动是即使到了今天再去听唐汉霄唱的片尾曲依旧会哭得泪流满面的程度,这部 动画电影 给 我 的 感动 是 即使 到 了 今天 再 去 听 唐汉霄 唱 的 片尾曲 依旧会 哭 得 泪流满面 的 程度
这部动画让我第一时间想到了我表妹我可能并不能很共鸣因为我家庭比较美满但我表妹她就是从小父母离异跟着她爸爸她爸爸也找了新的人对她不怎么关注却很严厉后来大很多就跟着妈妈妈妈也结婚了还有了一个女儿那个时候她回来和我一起上学就能体会到她的委屈心酸处处都得让着妹妹在父母两边的家庭都得小心翼翼结果还是像个外人我觉得如果是她看可能前面就已经哭出来了吧还好她现在已经长大了或许也遇见了自己的南河吧,这部 动画 让 我 第一 时间 想到 了 我 表妹 我 可能 并 不能 很 共鸣 因为 我 家庭 比较 美满 但 我 表妹 她 就是 从小 父母 离异 跟着 她 爸爸 她 爸爸 也 找 了 新 的 人 对 她 不怎么 关注 却 很 严厉 后来 大 很多 就 跟着 妈妈 妈妈 也 结婚 了 还有 了 一个 女儿 那个 时候 她 回来 和 我 一起 上学 就 能 体会 到 她 的 委屈 心酸 处处 都 得 让 着 妹妹 在 父母 两边 的 家庭 都 得 小心翼翼 结果 还是 像 个 外人 我 觉得 如果 是 她 看 可能 前面 就 已经 哭 出来 了 吧 还好 她 现在 已经 长大 了 或许 也 遇见 了 自己 的 南河 吧
导演更深层次想表达的可能这里未必敢说懂的人很少 梦是虚幻的现实其实也是,导演 更 深层次 想 表达 的 可能 这里 未必 敢 说 懂 的 人 很少 梦 是 虚幻 的 现实 其实 也 是
没有强烈执念的人 写不出这样的剧本细腻太细腻,没有 强烈 执念 的 人 写不出 这样 的 剧本 细腻 太 细腻
这部片子很深意啊,这部 片子 很 深意 啊
有点像 海边的奈何桥呢,有点像 海边 的 奈何桥 呢
如果还有缺点的话大概就是嘴型了,如果 还有 缺点 的话 大概 就是 嘴型 了
我是她的南河我却又是自己的参宿,我 是 她 的 南河 我 却 又 是 自己 的 参宿
刚刚补完真的太好看了(;`),刚刚 补完 真的 太 好看 了 ( ; ` )
我那场所有人都坐到最后可能是我哭的太大声感染到别人了orz,我 那场 所有人 都 坐 到 最后 可能 是 我 哭 的 太 大声 感染 到 别人 了 orz
刚看完玲芽感觉深海比玲芽好太多了玲芽的逻辑是硬伤,刚看 完玲芽 感觉 深海 比玲芽 好 太 多 了 玲芽 的 逻辑 是 硬伤
就我看的想睡觉是吧,就 我 看 的 想 睡觉 是 吧
我看到深海一半上厕所听隔壁在放保你平安偷偷摸过去看了深海好看是真好看但是 我强忍着 3d 看了好久就是因为剧情吸引我后来是在不行了就去上厕所了,我 看到 深海 一半 上 厕所 听 隔壁 在 放保 你 平安 偷偷 摸 过去 看 了 深海 好看 是 真 好看 但是 我 强忍 着 3d 看 了 好久 就是 因为 剧情 吸引 我 后来 是 在 不行 了 就 去 上 厕所 了
说明你的生活一帆风顺不缺爱,说明 你 的 生活 一帆风顺 不缺 爱
回复 : 个人的审美不同我虽然生活也一帆风顺不怎么缺爱但是还是能和主角形成强烈共鸣,回复 : 个人 的 审美 不同 我 虽然 生活 也 一帆风顺 不怎么 缺爱 但是 还是 能 和 主角 形成 强烈 共鸣
最喜欢的电影没有之一双相情感障碍患者非常有感触,最 喜欢 的 电影 没有 之 一双 相 情感 障碍 患者 非常 有 感触
不太建议有心理疾病的人去看我看了之后整整三天没睡着,不太 建议 有 心理疾病 的 人 去 看 我 看 了 之后 整整 三天 没 睡着
回复 :没了解时已经被朋友拉着看了,回复 : 没 了解 时 已经 被 朋友 拉 着 看 了
真的要在一个电影里找出路吗,真的 要 在 一个 电影 里 找出路 吗
很棒的作品,很棒 的 作品
南河感觉有一种周星驰电影中的那种感觉一开始给人是很市井气世俗的后面会发现其内心的理想主义的小人物,南河 感觉 有 一种 周星驰 电影 中 的 那种 感觉 一 开始 给 人 是 很 市井气 世俗 的 后面 会 发现 其 内心 的 理想主义 的 小人物
游轮名字就是天狼星三角齐了,游轮 名字 就是 天狼星 三角 齐 了
中国人的千与千寻,中国 人 的 千与千寻
世界顶级动画,世界 顶级 动画
因人而异剧情的话得看不同人群不是抑郁症人群看不懂就硬说不出有深度在我心中算是比较算得上能引起共鸣的电影了但也有坏处就是剧情太拖沓叙事节奏不紧凑,因人而异 剧情 的话 得 看 不同 人群 不是 抑郁症 人群 看不懂 就 硬 说不出 有 深度 在我心中 算是 比较 算得 上 能 引起共鸣 的 电影 了 但 也 有 坏处 就是 剧情 太 拖沓 叙事 节奏 不 紧凑
深海怎么说呢之前画面过于繁杂了各种色彩眼睛看的有点疼但之后的剧情以及画面让人感觉到震撼与感动并且色彩的变化和电影情绪情节紧紧相连 从前我是参宿但现在我是南和去年我去了医院查出了重度抑郁症中度焦虑症还有一系列衍生疾病然而这一切都是原生家庭问题造成的但我现在学会了自己一个人生活去追求自己喜爱东西学会了自私学会了让自己开心,深海 怎么 说 呢 之前 画面 过于 繁杂 了 各种 色彩 眼睛 看 的 有点 疼 但 之后 的 剧情 以及 画面 让 人 感觉 到 震撼 与 感动 并且 色彩 的 变化 和 电影 情绪 情节 紧紧 相连 从前 我 是 参宿 但 现在 我 是 南 和 去年 我 去 了 医院 查出 了 重度 抑郁症 中度 焦虑症 还有 一系列 衍生 疾病 然而 这 一切都是 原生 家庭 问题 造成 的 但 我 现在 学会 了 自己 一个 人 生活 去 追求 自己 喜爱 东西 学会 了 自私 学会 了 让 自己 开心
我觉得这就是动画的意义,我 觉得 这 就是 动画 的 意义
电影看完后感动的泪流满面 因为我曾真实地被救赎过 那些人一次次从失落边缘把我拉回这五彩斑斓却并不圆满的世界 然后骤然消失在了人海 谢谢你 南河 你们像天使 也像清风 吹拂过我的生命 不曾留下痕迹 却有馨香犹存,电影 看 完后 感动 的 泪流满面 因为 我 曾 真实 地被 救赎 过 那些 人 一次次 从 失落 边缘 把 我拉回 这 五彩斑斓 却 并 不 圆满 的 世界 然后 骤然 消失 在 了 人海 谢谢 你 南河 你们 像 天使 也 像 清风 吹拂 过 我 的 生命 不曾 留下 痕迹 却 有 馨香 犹存
